Genome,trimmed_erpe_2018_pw_0hr_WHONDRS-PP48-000085_95ID.sorted,trimmed_erpe_2018_pw_3hr_WHONDRS-PP48-000086_95ID.sorted,trimmed_erpe_2018_pw_6hr_WHONDRS-PP48-000087_95ID.sorted,trimmed_erpe_2018_pw_9hr_WHONDRS-PP48-000088_95ID.sorted,trimmed_erpe_2018_pw_12hr_WHONDRS-PP48-000089_95ID.sorted,trimmed_erpe_2018_pw_15hr_WHONDRS-PP48-000090_95ID.sorted,trimmed_erpe_2018_pw_18hr_WHONDRS-PP48-000091_95ID.sorted,trimmed_erpe_2018_pw_21hr_WHONDRS-PP48-000092_95ID.sorted,trimmed_erpe_2018_pw_24hr_WHONDRS-PP48-000093_95ID.sorted,trimmed_erpe_2018_pw_27hr_WHONDRS-PP48-000094_95ID.sorted,trimmed_erpe_2018_pw_30hr_WHONDRS-PP48-000095_95ID.sorted,trimmed_erpe_2018_pw_33hr_WHONDRS-PP48-000096_95ID.sorted,trimmed_erpe_2018_pw_36hr_WHONDRS-PP48-000097_95ID.sorted,trimmed_erpe_2018_pw_39hr_WHONDRS-PP48-000098_95ID.sorted,trimmed_erpe_2018_pw_42hr_WHONDRS-PP48-000099_95ID.sorted,trimmed_erpe_2018_pw_45hr_WHONDRS-PP48-000100_95ID.sorted,trimmed_erpe_2018_pw_48hr_WHONDRS-PP48-000101_95ID.sorted,trimmed_erpe_2018_sw_0hr_WHONDRS-SW48-000085_95ID.sorted,trimmed_erpe_2018_sw_3hr_WHONDRS-SW48-000086_95ID.sorted,trimmed_erpe_2018_sw_6hr_WHONDRS-SW48-000087_95ID.sorted,trimmed_erpe_2018_sw_9hr_WHONDRS-SW48-000088_95ID.sorted,trimmed_erpe_2018_sw_12hr_WHONDRS-SW48-000089_95ID.sorted,trimmed_erpe_2018_sw_15hr_WHONDRS-SW48-000090_95ID.sorted,trimmed_erpe_2018_sw_18hr_WHONDRS-SW48-000091_95ID.sorted,trimmed_erpe_2018_sw_21hr_WHONDRS-SW48-000092_95ID.sorted,trimmed_erpe_2018_sw_24hr_WHONDRS-SW48-000093_95ID.sorted,trimmed_erpe_2018_sw_27hr_WHONDRS-SW48-000094_95ID.sorted,trimmed_erpe_2018_sw_30hr_WHONDRS-SW48-000095_95ID.sorted,trimmed_erpe_2018_sw_33hr_WHONDRS-SW48-000096_95ID.sorted,trimmed_erpe_2018_sw_39hr_WHONDRS-SW48-000098_95ID.sorted,trimmed_erpe_2018_sw_42hr_WHONDRS-SW48-000099_95ID.sorted,trimmed_erpe_2018_sw_45hr_WHONDRS-SW48-000100_95ID.sorted
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_bin.1,88294,35725,0,0,0,27434,35739,21094,40052,0,52878,20855,0,25763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_bin.30,167098,42953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_A_bin.37,46093,0,41576,37520,26116,28726,69649,50034,46812,37760,55203,32009,29403,30822,25175,32835,30621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.17,398891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.1,449708,126305,186135,118005,0,89180,156527,167430,194560,124213,0,0,104749,97877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.23,157380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.26,130228,64361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.27,475573,121523,0,0,0,0,0,0,95048,0,0,0,0,0,0,0,0,271058,197665,468245,212500,279235,294653,539436,834060,472682,316810,443396,244735,234182,400200,419480
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.28,144801,0,0,0,0,0,0,0,62979,0,89164,0,0,0,0,0,0,0,0,51988,0,0,0,0,0,51033,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.29,270532,112482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174880,126463,285185,126040,182708,173771,316913,521879,305667,205785,285677,153271,129960,271919,275097
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.36,82074,53305,0,0,0,41787,57005,0,50426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.37,502588,149844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.40,86510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.56,233790,60311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.57,174336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.5,363735,94845,0,0,0,0,132917,67217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.66,131283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.6,338959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_B_bin.9,64242,35792,29321,20294,29853,27283,41757,37907,66893,23263,98626,29961,13844,25482,13347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_bin.10,324775,69372,0,0,0,0,62012,0,37142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_0hr_WHONDRS-PP48-000085_F_bin.14,774999,412236,583194,467997,292315,356444,705698,594426,685163,509950,748997,375727,324338,333327,258706,355895,425120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_bin.14,0,0,0,0,48685,0,76953,0,0,0,0,0,0,0,0,32997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_12hr_WHONDRS-PP48-000089_B_bin.9,45341,0,0,54637,63043,0,155135,35406,0,0,0,0,0,50464,0,43873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47197,0
erpe_2018_pw_15hr_WHONDRS-PP48-000090_B_bin.10,422073,132657,52759,34126,0,61931,78754,0,59466,48850,54791,34067,0,0,0,0,27358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_bin.17,38896,18640,12616,0,13075,18628,30165,14891,24166,0,18448,16514,11072,22700,14176,0,10458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_A_bin.35,0,0,0,71843,51928,0,159254,0,0,0,0,0,0,48446,0,43314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52187,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_bin.11,0,0,0,64672,0,0,162915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_bin.38,0,0,0,0,0,0,93569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_bin.40,0,0,0,0,33728,0,72434,0,0,0,0,0,0,0,0,28075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_bin.43,0,0,0,93499,0,0,148448,0,0,0,50194,51186,0,0,55304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_18hr_WHONDRS-PP48-000091_B_bin.69,49336,0,0,79659,46339,40184,144860,0,0,47108,49319,47222,0,40212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47341,0
erpe_2018_pw_21hr_WHONDRS-PP48-000092_B_bin.4,60291,0,59708,54657,38508,45273,101806,81673,74638,60239,89350,52511,50164,52840,41786,56503,52698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_24hr_WHONDRS-PP48-000093_B_bin.14,191504,41128,84520,62020,45847,47426,136376,122950,113830,109242,227714,78166,64825,72923,49321,55563,71669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_24hr_WHONDRS-PP48-000093_B_bin.22,43502,0,0,0,0,46934,57659,162208,228791,124833,174545,64895,84257,81834,55318,55460,65953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_24hr_WHONDRS-PP48-000093_B_bin.4,2502458,483462,424987,287841,87620,252417,380924,227330,439807,356450,322943,215386,112087,194454,105906,0,178057,2335809,2105487,4314419,2030687,2553706,2487110,4980177,8224760,4395031,2719847,3811488,2259161,2140761,4170639,4020228
erpe_2018_pw_24hr_WHONDRS-PP48-000093_B_bin.7,212699,64518,74692,0,0,0,92848,61379,115637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_27hr_WHONDRS-PP48-000094_A_bin.9,0,0,0,78747,0,90188,137236,0,182795,188631,338453,194081,71873,105744,51601,56018,93579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_27hr_WHONDRS-PP48-000094_B_bin.5,0,0,0,54397,0,0,79042,0,0,37631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_30hr_WHONDRS-PP48-000095_B_bin.32,0,0,0,0,0,0,19693,0,39473,41458,63779,49076,25891,35365,22220,29884,29920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_30hr_WHONDRS-PP48-000095_B_bin.6,0,0,0,65614,0,0,95162,0,0,0,48523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_30hr_WHONDRS-PP48-000095_B_bin.9,95819,0,63365,59825,70527,45644,114069,105327,95032,66019,109663,52028,69460,50245,47422,60585,61299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_bin.13,473849,123588,65644,0,0,52786,80130,0,62408,0,45121,0,0,0,0,0,0,44897,0,65609,0,0,0,50676,70758,0,0,0,0,0,0,0
erpe_2018_pw_3hr_WHONDRS-PP48-000086_B_bin.19,418480,106613,0,0,0,0,50978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_42hr_WHONDRS-PP48-000099_B_bin.12,0,0,0,0,0,0,34149,0,34299,43389,46131,66117,39432,69039,77641,57464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_48hr_WHONDRS-PP48-000101_A_bin.11,0,0,0,0,0,0,15690,13598,21968,21923,33138,15181,15336,15092,12716,16241,26534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_48hr_WHONDRS-PP48-000101_B_bin.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71794,0,113821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_6hr_WHONDRS-PP48-000087_B_bin.3,157658,48753,69484,0,0,0,67399,0,67477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_bin.13,74639,0,70848,69039,45490,53700,118164,88991,85927,71095,104073,62322,58719,62355,49444,68183,62289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_bin.18,143476,0,0,441069,244296,147192,1025901,0,0,0,0,0,0,0,0,157759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_pw_9hr_WHONDRS-PP48-000088_B_bin.19,0,0,0,115519,0,0,148327,0,0,0,54415,56703,0,0,59549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_sw_0hr_WHONDRS-SW48-000085_A_bin.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311084,67300,362637,68059,0,0,0,0,60524,247639,358179,64529,0,0,0
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_bin.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36080,15666,67469,36889,34435,41105,73752,109296,29399,60520,72556,50795,35783,102387,55470
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_bin.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170999,170528,110119,0,109180,88334,124257,128189,225458,116745,76681,0,69521,0,0
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_bin.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_bin.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65673,27358,74978,39122,54038,42866,63781,92440,44342,65889,86478,52841,32368,81030,71208
erpe_2018_sw_0hr_WHONDRS-SW48-000085_B_bin.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56869,20290,75113,40139,46575,35844,57688,73965,34608,57188,74253,47156,32522,71649,45315
erpe_2018_sw_12hr_WHONDRS-SW48-000089_B_bin.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpe_2018_sw_12hr_WHONDRS-SW48-000089_B_bin.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92883,38790,99673,52887,74287,59584,97644,113579,64082,73713,97637,50676,38744,80393,110888
erpe_2018_sw_15hr_WHONDRS-SW48-000090_B_bin.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65317,29324,102122,62609,45052,56376,93479,165440,40498,72730,101897,68928,42596,143059,68110
erpe_2018_sw_15hr_WHONDRS-SW48-000090_B_bin.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
