,trimmed_erpe_2018_pw_0hr_WHONDRS.PP48.000085_95ID.sorted,trimmed_erpe_2018_pw_3hr_WHONDRS.PP48.000086_95ID.sorted,trimmed_erpe_2018_pw_6hr_WHONDRS.PP48.000087_95ID.sorted,trimmed_erpe_2018_pw_9hr_WHONDRS.PP48.000088_95ID.sorted,trimmed_erpe_2018_pw_12hr_WHONDRS.PP48.000089_95ID.sorted,trimmed_erpe_2018_pw_15hr_WHONDRS.PP48.000090_95ID.sorted,trimmed_erpe_2018_pw_18hr_WHONDRS.PP48.000091_95ID.sorted,trimmed_erpe_2018_pw_21hr_WHONDRS.PP48.000092_95ID.sorted,trimmed_erpe_2018_pw_24hr_WHONDRS.PP48.000093_95ID.sorted,trimmed_erpe_2018_pw_27hr_WHONDRS.PP48.000094_95ID.sorted,trimmed_erpe_2018_pw_30hr_WHONDRS.PP48.000095_95ID.sorted,trimmed_erpe_2018_pw_33hr_WHONDRS.PP48.000096_95ID.sorted,trimmed_erpe_2018_pw_36hr_WHONDRS.PP48.000097_95ID.sorted,trimmed_erpe_2018_pw_39hr_WHONDRS.PP48.000098_95ID.sorted,trimmed_erpe_2018_pw_42hr_WHONDRS.PP48.000099_95ID.sorted,trimmed_erpe_2018_pw_45hr_WHONDRS.PP48.000100_95ID.sorted,trimmed_erpe_2018_pw_48hr_WHONDRS.PP48.000101_95ID.sorted,trimmed_erpe_2018_sw_0hr_WHONDRS.SW48.000085_95ID.sorted,trimmed_erpe_2018_sw_3hr_WHONDRS.SW48.000086_95ID.sorted,trimmed_erpe_2018_sw_6hr_WHONDRS.SW48.000087_95ID.sorted,trimmed_erpe_2018_sw_9hr_WHONDRS.SW48.000088_95ID.sorted,trimmed_erpe_2018_sw_12hr_WHONDRS.SW48.000089_95ID.sorted,trimmed_erpe_2018_sw_15hr_WHONDRS.SW48.000090_95ID.sorted,trimmed_erpe_2018_sw_18hr_WHONDRS.SW48.000091_95ID.sorted,trimmed_erpe_2018_sw_21hr_WHONDRS.SW48.000092_95ID.sorted,trimmed_erpe_2018_sw_24hr_WHONDRS.SW48.000093_95ID.sorted,trimmed_erpe_2018_sw_27hr_WHONDRS.SW48.000094_95ID.sorted,trimmed_erpe_2018_sw_30hr_WHONDRS.SW48.000095_95ID.sorted,trimmed_erpe_2018_sw_33hr_WHONDRS.SW48.000096_95ID.sorted,trimmed_erpe_2018_sw_39hr_WHONDRS.SW48.000098_95ID.sorted,trimmed_erpe_2018_sw_42hr_WHONDRS.SW48.000099_95ID.sorted,trimmed_erpe_2018_sw_45hr_WHONDRS.SW48.000100_95ID.sorted
NOSC_avg_abs,0.233224007,0.230888814,0.219070317,0.221543539,0.224679472,0.234469521,0.222558708,0.232976691,0.22964829,0.223501925,0.226112049,0.225878162,0.230427083,0.237171606,0.232582126,0.230118531,0.213801003,0.248623758,0.262127461,0.267697566,0.251391804,0.23878182,0.233720042,0.237067062,0.24344077,0.244246628,0.284403003,0.267085632,0.252919182,0.254485277,0.249283529,0.243331117
Hydrology,0.185,0.182,0.168,0.186,0.174,0.138,0.108,0.146,0.185,0.182,0.168,0.186,0.174,0.138,0.108,0.146,0.185,0.185,0.182,0.168,0.186,0.174,0.138,0.108,0.146,0.185,0.182,0.168,0.186,0.138,0.108,0.146
Temp,14.907,15.947,15.027,13.913,13.073,12.313,11.903,12.133,14.053,15.797,15.583,15.243,15.293,15.233,15.17,15.77,17.393,14.907,15.947,15.027,13.913,13.073,12.313,11.903,12.133,14.053,15.797,15.583,15.243,15.233,15.17,15.77
Conductivity,1106,1171,1180,1163,1175,1191,1177,1146,1143,1202,1206,1197,1199,1207,1138,1192,1203,1106,1171,1180,1163,1175,1191,1177,1146,1143,1202,1206,1197,1207,1138,1192
DOC.TN,103.7142857,11.01123596,11.58536585,91.69014085,11.75,9.172413793,9.642857143,10.25,24.21341463,80.375,21.01694915,14.30555556,13.62068966,14.61538462,9.625,9.518072289,8.98989899,5.323383085,5.917431193,5.114155251,7.267080745,4.184397163,4.808510638,3.919413919,5.518394649,5.041322314,5.681818182,4.734375,20.97560976,4.335443038,7.405063291,4.482758621
C_avg_fticr,18.94725949,19.04499531,19.04508141,19.26507975,19.081584,19.1466719,19.06911069,19.10472082,19.19113657,18.89522381,18.98196422,18.90850149,18.90347826,18.82805211,19.1498289,18.88329158,18.93904219,18.84339298,18.85921086,18.900373,18.57770849,18.55905466,18.47632417,18.79031448,18.50066312,18.89834068,18.67163133,18.82078008,18.695158,18.64254156,18.56099469,18.63678664
N_avg_fticr,0.456150192,0.462143932,0.482329306,0.484909151,0.448378349,0.462014459,0.475268728,0.46360835,0.478468989,0.471386953,0.500243273,0.455859784,0.45193801,0.459692284,0.450555427,0.452027146,0.49481388,0.44163866,0.46213118,0.475043038,0.483362985,0.49703538,0.516284825,0.513063046,0.470908568,0.479682721,0.48043845,0.456962947,0.492954223,0.525048719,0.503863154,0.48651696
H.C_ratio_avg,1.26653911,1.261403188,1.255588703,1.255208541,1.257065317,1.258390036,1.259760185,1.261916488,1.258734462,1.262356434,1.259009021,1.266666192,1.266435195,1.270114357,1.261172045,1.265073897,1.254460875,1.286329601,1.299445684,1.300133858,1.295153923,1.295038444,1.294147436,1.287857668,1.287544783,1.287412252,1.318343407,1.301207213,1.298773572,1.303382064,1.295834442,1.292731189
N.C_ratio_avg,0.028413711,0.029126049,0.029859857,0.029665539,0.028291677,0.028864745,0.02988983,0.028758969,0.028983718,0.029831308,0.030312392,0.02945824,0.028816795,0.029744136,0.028304151,0.028971227,0.03101988,0.028317729,0.029566659,0.029852856,0.031253006,0.032488708,0.033672829,0.032361278,0.03055688,0.030475873,0.031266536,0.029069218,0.031593501,0.033480227,0.032693931,0.031186719
AI_Mod_avg,0.24236807,0.246372358,0.248581025,0.247443323,0.247101336,0.248118706,0.245927549,0.246240834,0.246576358,0.24453111,0.247673604,0.241879881,0.241786448,0.243258189,0.244816902,0.242286609,0.24770734,0.231739889,0.22476005,0.224267667,0.228201614,0.22573622,0.22639138,0.228638105,0.232027249,0.230669282,0.216958861,0.223869966,0.223913939,0.222428179,0.226311659,0.226649901
DBE_avg,8.445942821,8.538107602,8.582502055,8.668566988,8.56579508,8.603738078,8.560770866,8.554153232,8.608842871,8.477381692,8.558365955,8.431711201,8.436521367,8.358385775,8.555755143,8.44025453,8.581704099,8.208353641,8.119741102,8.116405063,8.056086893,8.056731394,8.046251095,8.202836343,8.098871563,8.25997625,7.880608456,8.077560231,8.083879068,8.029319225,8.049170433,8.106096015
lamO2_avg,0.053159234,0.053096738,0.053658709,0.053106702,0.053175782,0.052870409,0.053440828,0.053087389,0.053111177,0.053745353,0.053687769,0.053575594,0.053556845,0.053844472,0.052865773,0.053386612,0.054083669,0.053201577,0.053335626,0.053397209,0.054076034,0.054243343,0.055035611,0.054157093,0.05427187,0.053340524,0.053515439,0.053395905,0.054011377,0.054074763,0.054503583,0.054260194
SRP,424,407,400,411,242,364,391,397,353.6,301,388,367,284,381,305,295,301,73,63,63,63,64,64,63,63,68,46,61,52,66,63,70
NH4,0.65,0.56,0.56,0.57,0.36,0.5,0.6,0.46,0.63,0.54,0.56,0.6,0.61,0.4,0.49,0.47,0.44,0.04,0.05,0.05,0.07,0.09,0.08,0.08,0.04,0.04,0.04,0.05,0.07,0.07,0.06,0.2
NO3,0.05,0.04,0.05,0.06,0.03,0.04,0.16,0.03,0.00000001,0.05,0.18,0.04,0.1,0.02,0.03,0.02,0.01,3.25,3.28,3.67,4.07,4.83,5.34,4.91,4.62,3.85,3.76,4.11,3.9,5.93,5.24,5.4
DOC,72.6,9.8,9.5,65.1,9.4,7.98,8.1,8.2,19.855,64.3,12.4,10.3,7.9,7.6,7.7,7.9,8.9,10.7,12.9,11.2,11.7,11.8,11.3,10.7,16.5,12.2,12.5,12.12,60.2,13.7,11.7,11.7
Cl,121,121,118,119,117,117,116,116,116,115,117,117,116,116,117,117,119,103,119,120,118,119,125,122,121,114,125,127,127,127,131,127
SO4,134,133,133,133,131,132,130,130,131,129,131,135,133,135,135,166,135,120,134,135,139,134,135,135,136,125,136,135,139,136,139,169
B,0.174,0.174,0.175,0.172,0.167,0.159,0.162,0.156,0.143,0.153,0.16,0.159,0.163,0.157,0.16,0.158,0.157,0.112,0.148,0.15,0.145,0.143,0.148,0.144,0.138,0.122,0.162,0.168,0.166,0.162,0.159,0.156
Ca,106.9,105.2,102.7,100.1,97.3,95.5,100.3,99.2,101.6,96.2,100.2,96.7,97,102.1,103.9,103.2,102.8,107.7,108.1,106.6,104.9,103.6,109.3,105.2,103.6,106.1,103.4,105.5,105.4,108.8,108.4,112.7
Fe,0.06,0.056,0.057,0.079,0.092,0.039,0.156,0.04,0.031,0.04,0.051,0.033,0.043,0.037,0.046,0.04,0.038,0.051,0.036,0.033,0.039,0.041,0.043,0.039,0.036,0.045,0.032,0.033,0.033,0.032,0.03,0.033
K,26.71,27.05,26.87,26.37,25.63,25.54,26.43,26.08,25.22,25.6,26.78,26.02,26.01,27.01,27.73,27.29,26.73,19.78,24.84,24.74,24.08,24.09,24.95,25.34,24.39,21.66,25.66,26.39,25.98,26.99,26.86,27.37
Mg,12.28,12.21,11.91,11.7,11.41,11.23,11.87,11.73,12.12,11.43,11.87,11.47,11.49,11.98,12.19,12.14,12.01,11.47,11.7,11.67,11.58,11.54,12.23,11.74,11.59,11.59,11.42,11.82,11.84,12.19,12.12,12.56
Mn,0.508,0.482,0.464,0.451,0.449,0.438,0.446,0.454,0.786,0.441,0.43,0.434,0.441,0.431,0.442,0.44,0.437,0.01,0.011,0.00000001,0.00000001,0.015,0.014,0.00000001,0.00000001,0.00000001,0.01,0.00000001,0.00000001,0.00000001,0.00000001,0.00000001
Na,100.8,99.3,96.5,93.9,90.7,90.5,93.7,91.3,90,88.1,92.6,88.4,88.5,90.8,93.5,92.3,91.2,74.5,92.4,92.1,88.6,89,93.7,93.6,89.3,81.6,95.3,97.7,95.9,99.9,99.2,101.2
TN,0.7,0.89,0.82,0.71,0.8,0.87,0.84,0.8,0.82,0.8,0.59,0.72,0.58,0.52,0.8,0.83,0.99,2.01,2.18,2.19,1.61,2.82,2.35,2.73,2.99,2.42,2.2,2.56,2.87,3.16,1.58,2.61